doi,status_code,final_url,domain,resolved,redirect_count,redirect_chain,error
10.2147/IJN.S541061,200,https://www.dovepress.com/advancing-cancer-immunotherapy-using-lipid-nanoparticle-based-approach-peer-reviewed-fulltext-article-IJN,dovepress.com,True,1,https://doi.org/10.2147/IJN.S541061 -> https://www.dovepress.com/advancing-cancer-immunotherapy-using-lipid-nanoparticle-based-approach-peer-reviewed-fulltext-article-IJN,
10.1016/j.ijpharm.2025.126263,200,https://linkinghub.elsevier.com/retrieve/pii/S0378517325011007,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ijpharm.2025.126263 -> https://linkinghub.elsevier.com/retrieve/pii/S0378517325011007,
10.1002/adma.202513720,403,https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513720,advanced.onlinelibrary.wiley.com,True,1,https://doi.org/10.1002/adma.202513720 -> https://advanced.onlinelibrary.wiley.com/doi/10.1002/adma.202513720,
10.1016/j.biomaterials.2025.123754,200,https://linkinghub.elsevier.com/retrieve/pii/S0142961225006738,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.biomaterials.2025.123754 -> https://linkinghub.elsevier.com/retrieve/pii/S0142961225006738,
10.1038/s41598-025-20340-y,200,https://www.nature.com/articles/s41598-025-20340-y,nature.com,True,1,https://doi.org/10.1038/s41598-025-20340-y -> https://www.nature.com/articles/s41598-025-20340-y,
10.1021/jacs.5c10908,403,https://pubs.acs.org/doi/10.1021/jacs.5c10908,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c10908 -> https://pubs.acs.org/doi/10.1021/jacs.5c10908,
10.1021/jacs.5c14870,403,https://pubs.acs.org/doi/10.1021/jacs.5c14870,pubs.acs.org,True,1,https://doi.org/10.1021/jacs.5c14870 -> https://pubs.acs.org/doi/10.1021/jacs.5c14870,
10.1016/j.ijbiomac.2025.148058,200,https://linkinghub.elsevier.com/retrieve/pii/S0141813025086155,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.ijbiomac.2025.148058 -> https://linkinghub.elsevier.com/retrieve/pii/S0141813025086155,
10.1038/s42004-025-01699-5,200,https://www.nature.com/articles/s42004-025-01699-5,nature.com,True,1,https://doi.org/10.1038/s42004-025-01699-5 -> https://www.nature.com/articles/s42004-025-01699-5,
10.1016/j.omtm.2025.101585,200,https://linkinghub.elsevier.com/retrieve/pii/S2329050125001809,linkinghub.elsevier.com,True,1,https://doi.org/10.1016/j.omtm.2025.101585 -> https://linkinghub.elsevier.com/retrieve/pii/S2329050125001809,
10.1039/d5fo05461c,200,https://pubs.rsc.org/en/content/articlelanding/2026/fo/d5fo05461c,pubs.rsc.org,True,1,https://doi.org/10.1039/d5fo05461c -> https://pubs.rsc.org/en/content/articlelanding/2026/fo/d5fo05461c,
